Transect_I,MGMTUNIT_I,TransectNa,StartLat,StartLong,SITE_ID,tblSITE_Site,ManUnitAcres,Obs.2008,Obs.2009,Obs.2010,Obs.2011,Obs.2012,Obs.2013,Obs.2014,Obs.2015,Obs.2016,Obs.2017,Obs.2018,Sys.2008,Sys.2009,Sys.2010,Sys.2011,Sys.2012,Sys.2013,Sys.2014,Sys.2015,Sys.2016,Sys.2017,Sys.2018,Mgmt.2008,Mgmt.2009,Mgmt.2010,Mgmt.2011,Mgmt.2012,Mgmt.2013,Mgmt.2014,Mgmt.2015,Mgmt.2016,Mgmt.2017,Mgmt.2018,NumObs,Delta
1610,202,SOB_12,46.37711,-97.3555,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,WM,WM,WM,WM,WM,WM,WM,WM,"",WM,WM,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1611,202,SOB_13,46.37707,-97.3477,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1612,202,SOB_16,46.37319,-97.3629,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1613,202,SOB_19,46.37238,-97.3507,67,,300,,,,,,,,,,,,,,,,,,,,,,,Graze,Graze,Graze,Graze,Graze,Graze,Graze,"","","","",,1
1614,202,SOB_22,46.37409,-97.352,67,,300,,,,,,,,,,,,,,,,,,,,,,,Graze,Graze,Graze,Graze,Graze,Graze,Graze,"","","","",,1
1615,202,SOB_28,46.37215,-97.3564,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1616,202,SOB_31,46.37177,-97.3469,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,LG,LG,LG,LG,LG,LG,LG,LG,"",LG,LG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1617,202,SOB_32,46.37289,-97.3582,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1618,202,SOB_34,46.37246,-97.3535,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1619,202,SOB_35,46.37554,-97.3527,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
1620,202,SOB_39,46.37493,-97.3617,67,,300,,,,,,,,,,,,,,,,,,,,,,,Graze,Graze,Graze,Graze,Graze,Graze,Graze,"","","","",,1
1621,202,SOB_44,46.3734,-97.3497,67,,300,,,,,,,,,,,,,,,,,,,,,,,Graze,Graze,Graze,Graze,Graze,Graze,Graze,"","","","",,1
1622,202,SOB_46,46.37556,-97.359,67,Sheyenne National Grasslands,300,1,0,0,0,0,0,0,0,0,0,0,WM,WM,WM,WM,WM,WM,WM,WM,"",WM,WM,"",Graze,Graze,Graze,Graze,Graze,Graze,"","","","",0,0
